sensor,pid,tsa,plotid,yr,day,b1,b2,b3,b4,b5,b7,b6,fmask
LT5,12345678,14034,31,1984,84,428,602,622,2265,1418,813,2816,0
LT5,12345678,14034,31,1984,137,545,861,624,4677,1730,653,2850,0
LT5,12345678,14034,31,1984,185,424,590,415,3035,1047,493,2937,0
LT5,12345678,14034,31,1984,233,20000,6367,6402,7438,6163,4985,2859,4
LT5,12345678,14034,31,1984,249,321,479,365,2709,830,300,2906,0
LT5,12345678,14034,31,1984,265,420,571,392,2890,1025,455,2942,0
LT5,12345678,14034,31,1984,281,2927,2929,2870,4299,2273,1730,2533,4
LT5,12345678,14034,31,1984,313,273,393,355,2505,1019,428,2821,0
LT5,12345678,14034,31,1984,329,434,501,437,2439,1118,423,2791,0
LT5,12345678,14034,31,1984,361,270,416,421,2416,1060,477,2755,0
LT5,12345678,14034,31,1985,27,7571,7505,7494,7856,6183,5350,2609,4
LT5,12345678,14034,31,1985,59,400,544,415,2220,1087,555,2760,0
LT5,12345678,14034,31,1985,91,20000,4107,4140,4872,4368,3746,2781,4
LT5,12345678,14034,31,1985,107,353,537,484,2305,1412,747,2897,0
LT5,12345678,14034,31,1985,155,20000,3628,3393,4644,2968,2182,2645,4
LT5,12345678,14034,31,1985,171,289,447,355,2809,1171,579,2942,0
LT5,12345678,14034,31,1985,203,403,576,401,3250,1177,584,2959,0
LT5,12345678,14034,31,1985,219,333,482,347,3145,1076,480,2933,0
LT5,12345678,14034,31,1985,235,1688,1772,1634,3773,1869,1305,2645,4
LT5,12345678,14034,31,1985,251,1643,1693,1507,3661,1753,1174,2729,4
LT5,12345678,14034,31,1985,267,20000,5063,4962,6563,5584,5074,2572,4
LT5,12345678,14034,31,1985,283,314,466,403,2686,1015,406,2924,0
LT5,12345678,14034,31,1985,299,278,376,352,2501,1085,435,2892,0
LT5,12345678,14034,31,1985,315,1024,1092,1014,2413,1309,724,2791,4
LT5,12345678,14034,31,1985,331,772,945,818,3056,1679,835,2869,4
LT5,12345678,14034,31,1986,14,3860,3763,3651,3954,1614,1359,2506,4
LT5,12345678,14034,31,1986,30,1595,1500,1329,3465,686,355,2662,4
LT5,12345678,14034,31,1986,46,2102,2109,1827,3850,676,366,2707,3
LT5,12345678,14034,31,1986,62,20000,7121,7024,7569,6573,5653,2591,4
LT5,12345678,14034,31,1986,94,20000,7696,7650,8061,4442,3499,2457,4
LT5,12345678,14034,31,1986,110,392,523,475,2205,1298,704,2901,0
LT5,12345678,14034,31,1986,126,445,618,500,2601,1428,645,2972,0
LT5,12345678,14034,31,1986,158,20000,7616,20000,8482,20000,4727,2878,0
LT5,12345678,14034,31,1986,206,20000,6820,6617,7181,2080,1140,2729,4
LT5,12345678,14034,31,1986,222,676,838,675,3519,1385,672,2906,0
LT5,12345678,14034,31,1986,238,2696,2785,2650,4879,3331,2691,2864,4
LT5,12345678,14034,31,1986,254,396,551,385,3149,1059,447,2928,0
LT5,12345678,14034,31,1986,270,1006,1054,917,2619,1052,697,2850,4
LT5,12345678,14034,31,1986,302,2842,2879,2802,3850,2121,1650,2500,4
LT5,12345678,14034,31,1986,318,303,507,344,2375,928,458,2739,0
LT5,12345678,14034,31,1986,334,385,509,386,2385,1013,454,2796,0
LT5,12345678,14034,31,1986,350,1606,1680,1554,2964,1690,1167,2609,4
LT5,12345678,14034,31,1987,17,276,474,327,2435,1018,499,2739,0
LT5,12345678,14034,31,1987,49,4991,5174,5246,5997,5197,4910,2506,4
LT5,12345678,14034,31,1987,65,388,521,431,2233,994,553,2791,0
LT5,12345678,14034,31,1987,97,3205,3224,3236,4064,3430,2710,2760,4
LT5,12345678,14034,31,1987,129,350,606,452,2564,1289,660,2933,0
LT5,12345678,14034,31,1987,161,328,484,389,2891,1257,609,2937,0
LT5,12345678,14034,31,1987,177,2008,2027,1854,3643,1847,1231,2811,4
LT5,12345678,14034,31,1987,193,490,620,394,3188,1082,430,2955,0
LT5,12345678,14034,31,1987,209,414,593,361,3110,985,393,2950,0
LT5,12345678,14034,31,1987,225,20000,4758,4639,6346,5411,4930,2835,4
LT5,12345678,14034,31,1987,241,313,422,318,2858,975,425,2942,0
LT5,12345678,14034,31,1987,257,573,707,458,3003,1017,404,2937,0
LT5,12345678,14034,31,1987,289,309,439,334,2490,1032,412,2901,0
LT5,12345678,14034,31,1987,305,1655,1700,1633,2800,1662,1167,2674,4
LT5,12345678,14034,31,1987,321,731,870,766,2758,1419,787,2855,0
LT5,12345678,14034,31,1987,337,3976,3999,3955,4859,3114,2730,2339,4
LT5,12345678,14034,31,1987,353,353,481,410,2423,1037,486,2771,0
LT5,12345678,14034,31,1988,36,655,718,687,2469,1323,635,2696,0
LT5,12345678,14034,31,1988,52,3393,3453,3379,4046,2040,1639,2500,4
LT5,12345678,14034,31,1988,68,449,574,531,2314,1115,673,2831,0
LT5,12345678,14034,31,1988,84,672,752,661,2360,1308,658,2887,0
LT5,12345678,14034,31,1988,116,422,580,519,2320,1376,763,2897,0
LT5,12345678,14034,31,1988,148,368,529,431,2715,1332,636,2924,0
LT5,12345678,14034,31,1988,164,325,503,376,2715,1216,648,2968,0
LT5,12345678,14034,31,1988,180,265,428,309,2677,1235,574,2981,0
LT5,12345678,14034,31,1988,196,391,566,394,3048,1192,502,2946,0
LT5,12345678,14034,31,1988,212,351,527,315,3057,1060,392,2976,0
LT5,12345678,14034,31,1988,228,405,554,332,3173,996,368,2946,0
LT5,12345678,14034,31,1988,244,281,464,289,2842,956,376,2928,0
LT5,12345678,14034,31,1988,260,284,432,319,3025,1099,432,2915,0
LT5,12345678,14034,31,1988,276,1057,1219,1104,3353,1969,1149,2806,4
LT5,12345678,14034,31,1988,292,20000,5267,5135,6374,3823,3278,2294,4
LT5,12345678,14034,31,1988,308,381,476,474,2548,939,462,2831,0
LT5,12345678,14034,31,1988,324,4914,4872,4882,5546,2731,2160,2126,4
LT5,12345678,14034,31,1988,340,20000,7583,7570,7832,3728,3299,2276,4
LT5,12345678,14034,31,1988,356,3850,3972,3929,4788,2631,2157,2412,4
LT5,12345678,14034,31,1989,22,407,538,520,2317,1110,570,2718,0
LT5,12345678,14034,31,1989,54,878,1023,957,2765,1690,1031,2750,0
LT5,12345678,14034,31,1989,70,339,437,408,2148,1019,532,2771,0
LT5,12345678,14034,31,1989,86,439,578,437,2293,1104,571,2887,0
LT5,12345678,14034,31,1989,102,334,519,431,2227,1121,579,2850,0
LT5,12345678,14034,31,1989,118,353,573,490,2469,1265,600,2887,0
LT5,12345678,14034,31,1989,134,610,782,674,2944,1328,633,2897,0
LT5,12345678,14034,31,1989,150,1543,1691,1500,3828,2036,1333,2723,4
LT5,12345678,14034,31,1989,166,450,581,474,2864,1136,563,2915,0
LT5,12345678,14034,31,1989,182,355,526,362,3184,1140,478,2955,0
LT5,12345678,14034,31,1989,214,323,457,323,2983,876,316,2928,0
LT5,12345678,14034,31,1989,246,324,472,321,2998,1033,465,2924,0
LT5,12345678,14034,31,1989,278,215,381,253,2433,813,295,2873,0
LT5,12345678,14034,31,1989,294,302,492,369,2376,872,427,2811,0
LT5,12345678,14034,31,1989,310,790,925,871,2715,1394,740,2821,4
LT5,12345678,14034,31,1989,326,1763,1840,1884,3125,2788,2456,2639,4
LT5,12345678,14034,31,1989,358,3526,3531,3453,3887,1849,1520,2506,4
LT5,12345678,14034,31,1990,9,232,326,339,1989,748,339,2771,0
LT5,12345678,14034,31,1990,121,987,1184,1018,2955,1589,889,2801,4
LT5,12345678,14034,31,1990,137,2871,2908,2792,4117,1884,1441,2566,4
LT5,12345678,14034,31,1990,153,595,837,623,3045,1361,649,2864,2
LT5,12345678,14034,31,1990,169,488,662,576,2871,1313,674,2906,0
LT5,12345678,14034,31,1990,185,644,835,756,3176,1462,838,2869,0
LT5,12345678,14034,31,1990,201,292,454,325,2703,1061,359,2937,0
LT5,12345678,14034,31,1990,217,1761,1907,1740,4283,2371,1787,2540,4
LT5,12345678,14034,31,1990,249,-147,-1,-79,3960,1166,455,2950,0
LT5,12345678,14034,31,1990,281,438,610,485,2804,1138,373,2919,0
LT5,12345678,14034,31,1990,297,276,375,307,2454,987,399,2887,0
LT5,12345678,14034,31,1990,313,462,617,549,2476,1072,626,2786,0
LT5,12345678,14034,31,1990,329,2193,2320,2240,3269,2281,1828,2585,4
LT5,12345678,14034,31,1990,345,2287,2360,2512,3471,3320,2960,2533,4
LT5,12345678,14034,31,1991,44,2007,2045,1961,2968,2142,1615,2615,4
LT5,12345678,14034,31,1991,60,2928,3003,2884,3795,2545,2069,2500,4
LT5,12345678,14034,31,1991,76,313,478,405,1957,1146,595,2850,0
LT5,12345678,14034,31,1991,92,405,488,461,2095,1120,578,2855,0
LT5,12345678,14034,31,1991,124,250,467,366,2486,1246,592,2901,0
LT5,12345678,14034,31,1991,140,20000,3916,3823,4839,2334,1922,2388,4
LT5,12345678,14034,31,1991,156,436,657,506,3071,1274,582,2910,0
LT5,12345678,14034,31,1991,172,1057,1198,1103,3479,2015,1331,2831,4
LT5,12345678,14034,31,1991,188,439,531,356,3036,1096,504,2968,0
LT5,12345678,14034,31,1991,204,467,663,487,3375,1198,483,2946,0
LT5,12345678,14034,31,1991,220,2877,2981,2947,4575,3116,2301,2696,4
LT5,12345678,14034,31,1991,236,20000,3913,3741,5514,2482,1874,2442,4
LT5,12345678,14034,31,1991,252,375,496,375,2663,945,391,2937,0
LT5,12345678,14034,31,1991,268,20000,5887,5910,7104,6227,5555,2723,4
LT5,12345678,14034,31,1991,284,585,716,526,2583,977,410,2887,0
LT5,12345678,14034,31,1991,300,1743,1626,1612,2466,1727,1231,2859,2
